MSG_SETTING_OTHER_COL;Tento sloupec ovlivòuje reakci této zprávy, pokud se tıká jinıch zájmovıch postav;Cette colonne contrôle le comportement de ce message concernant d'autres personnages;Diese Spalte beeinflusst das Verhalten dieser Nachricht in Hinsicht auf das Interesse von Nachrichten anderer Charaktere;;Esta columna controla el comportamiento de los mensajes que atañen a otros personajes interesantes;;;;;;;;;x
MSG_SETTING_INTEREST_COL;Tento sloupec ovlivòuje reakci této zprávy, pokud se tıká postav s nastavenım zvláštním zájmem;Cette colonne contrôle le comportement du message concernant des personnages importants;Diese Spalte beeinflusst das Verhalten dieser Nachricht bezüglich Charakteren von besonderem Interesse;;Esta columna controla el comportamiento de los mensajes que atañen a personajes marcados como especialmente interesantes;;;;;;;;;x
MSG_SETTING_CLOSE_BUT;Toto tlaèítko zobrazuje nastavení pro zprávy tıkajících se tebe, nebo nejbliších èlenù rodiny a èlenù rodiny bez zemskıch titulù;Ce bouton affiche les options pour les messages vous concernant ou à propos des membres de votre famille sans terre;Dieser Schalter beeinflusst das Verhalten dieser Nachricht in Hinsicht auf dich oder nahe und besitzlose Familienmitglieder;;Este botón muestra las opciones para mensajes referentes a tí o a tu familia cercana o en la corte;;;;;;;;;x
MSG_SETTING_INTEREST_BUT;Toto tlaèítko zobrazuje nastavení pro zprávy tıkajících se postav s nastavenım speciálním zájmem;Ce bouton affiche les options pour les messages concernant les personnages importants;Dieser Schalter beeinflusst das Verhalten dieser Nachricht bezüglich Charakteren von besonderem Interesse;;Este botón muestra las opciones para mensajes referentes a personajes especialmente interesantes;;;;;;;;;x
MSG_SETTING_OTHER_BUT;Toto tlaèítko zobrazuje nastavení pro zprávy tıkajících se zájmovıch postav;Ce bouton affiche les options pour les messages concernant les personnages anodins;Dieser Schalter beeinflusst das Verhalten dieser Nachricht in Hinsicht auf das Interesse von Nachrichten anderer Charaktere;;Este botón muestra las opciones para mensajes referentes a otros personajes interesantes;;;;;;;;;x
SPECIAL_INTEREST_CHARACTERS;Postavy zvláštního zájmu;Personnages importants;Wichtige Charaktere;;Personajes especialmente interesantes;;;;;;;;;x
CIW_MESSAGES;§YPøepínaè speciálního zájmu§!;§YMarquer comme personnage soit important soit quelconque§!;§YAls Charakter von besonderem Interesse kennzeichnen§!;;Seleccionar/Deseleccionar como personaje especialmente interesante;;;;;;;;;x
CIW_MESSAGES_DEL;Postavy zvláštního zájmu mají vlastní kategorii v Sumáøi a vlastní nastavení zpráv.;Les personnages qui sont marqués comme important sont plus faciles à suivre car ils sont dans l'index et ont leur propre configuration de messages;Charaktere von besonderem Interesse sind leichter zu verfolgen, da sie eine Outlinerkategorie und ihre eigene Nachrichteneinstellung haben.;;Los personajes especialmente interesantes son más fáciles de seguir pues tienen una categoría especial y su propia configuración de mensajes;;;;;;;;;x
EVTDESC24503;Moji ostatní synové nesahají schopnostem [From.GetTitledFirstName] ani po kolena. Vìdìl, jak zacházet s meèem, a po mé smrti by dozajista vynikl jako [From.GetTitle].;Mes fils survivants, hélas, n'arrivent pas à la cheville [From.Get_du_TitledFirstName]. Lui, au moins, savait manier l'épée, et aurait été un grand [Root.GetTitle] après ma mort.;Meine verbleibenden Söhne haben bei weitem nicht die Fähigkeiten, die [From.GetTitledFirstName] hatte. Er wusste, wie man ein Schwert führte, und wäre ein großartiger [Root.GetTitle] nach meinem Tod gewesen.;;El resto de mis hijos ni se acercan a la capacidad de [From.GetTitledFirstName]. Sabía como blandir una espada, y hubiera sido un gran [Root.GetTitle] a mi muerte;;;;;;;;;x
EVTOPTD50006;Ale... nepropustil jsem tì?;Mais... ne t'avais-je pas libéré ?;Aber ... habe ich dich nicht freigelassen?;;Pero... ¿No te había liberado? ;;;;;;;;;x
