#CODE;ENGLISH;FRENCH;;GERMAN;SPANISH;;;;;;;;;x
SETTLEMENT_AT_LEAST;Osada je nejménì $AGE$ rokù stará.\n;Propriété d'au moins $AGE$ ans.\n;;Besitztum mindestens $AGE$ Jahre alt.\n;Población de al menos $AGE$ años.\n;;;;;;;;;x
AIREASON_IS_GUARDIANS_CHILD;Poruèníky jsou rodièe §Y[GetTitledFirstName]§!;Le tuteur est le parent de : §Y[GetTitledFirstName]§!;;Vormund ist ein Elternteil von §Y[GetTitledFirstName]§!;¡El guardián es el padre de §Y[GetTitledFirstName]§!;;;;;;;;;x
RELEASE_FROM_PRISON_INTERACTION_0;Propuste §Y[Recipient.GetBestName]§! z vìzení.;Libérez [Recipient.Get_only_le_Title]§Y[Recipient.GetBestName]§! de prison.;;§Y[Recipient.GetBestName]§! aus dem Kerker freilassen.;Libera a §Y[Recipient.GetBestName]§!.;;;;;;;;;x
RELEASE_FROM_PRISON_INTERACTION_1;Tvùj vazal si bude myslet e jsi milosrdnı a vaše vztahy se zlepší o §G$VAL$§!.;Vos vassaux apprécieront votre clémence et leur opinion à votre égard augmentera de §G$VAL$§!.;;Eure Vasallen werden Euch gnädig finden, was ihre Meinung über Euch um §G$VAL$§! erhöht.;Tus vasallos te consideran compasivo y su opinión sobre ti aumenta un §G$VAL$§!.;;;;;;;;;x
TITLED_NAME_W_NICK;$TITLE$ $NAME$ '$NICK$' z $HOLDING$;$TITLE$ $NAME$ '$NICK$' de $HOLDING$;;$TITLE$ $NAME$ $NICK$ von $HOLDING$;$TITLE$ $NAME$ '$NICK$' de $HOLDING$;;;;;;;;;x
city_contract_0_desc;Mìšané oèekávají, e polovina jejich vojska bude bránit království.;Les bourgeois sont tenus d'affecter une petite partie de leurs troupes à la défense du Royaume.;;Die Bürger müssen die Hälfte ihrer Truppen zur Verteidigung des Reichs stellen.;Se espera que los burgueses ofrezcan la mitad de sus tropas para defender el reino.;;;;;;;;;x
city_contract_1_desc;Mìšané oèekávají, e vìtšina na jejich vojska bude bránit království.;Les bourgeois sont tenus d'affecter la moitié de leurs troupes à la défense du Royaume.;;Die Bürger müssen einen Großteil ihrer Truppen zur Verteidigung des Reichs stellen.;Se espera que los burgueses ofrezcan la mayoría de sus tropas para defender el reino.;;;;;;;;;x
city_contract_2_desc;Mìšané oèekávají, e témìø všichni jejich vojáci budou bránit království.;Les bourgeois sont tenus d'affecter la majorité de leurs troupes à la défense du Royaume.;;Die Bürger müssen fast alle ihrer Truppen zur Verteidigung des Reichs stellen.;Se espera que los burgueses ofrezcan casi todas sus tropas para defender el reino.;;;;;;;;;x
city_contract_3_desc;Mìšané oèekávají, e témìø minimum jejich vojákù bude bránit království.;Les bourgeois sont tenus d'affecter toutes leurs troupes à la défense du Royaume.;;Die Bürger müssen bis auf ein winziges Kontingent ihre sämtlichen Truppen zur Verteidigung des Reichs stellen.;Se espera que los burgueses ofrezcan todas sus tropas salvo unas pocas para defender el reino.;;;;;;;;;x
obj_become_chancellor_title;Bıt jmenován do funkce [This.GetChancellorName];Devenir [This.GetChancellorName];;[This.GetChancellorName] werden;Convertirse en [This.GetChancellorName];;;;;;;;;x
obj_become_marshal_title;Bıt jmenován do funkce [This.GetMarshalName];Devenir [This.GetMarshalName];;[This.GetMarshalName] werden;Convertirse en [This.GetMarshalName];;;;;;;;;x
obj_become_treasurer_title;Bıt jmenován do funkce [This.GetTreasurerName];Devenir [This.GetTreasurerName];;[This.GetTreasurerName] werden;Convertirse en [This.GetTreasurerName];;;;;;;;;x
obj_become_spymaster_title;Bıt jmenován do funkce [This.GetSpymasterName];Devenir [This.GetSpymasterName];;[This.GetSpymasterName] werden;Convertirse en [This.GetSpymasterName];;;;;;;;;x
obj_become_spiritual_title;Bıt jmenován do funkce [This.GetLordSpiritualName];Devenir [This.GetLordSpiritualName];;[This.GetLordSpiritualName] werden;Convertirse en [This.GetLordSpiritualName];;;;;;;;;x
awesome_charge_tactic;Silná útoèná taktika;Puissante charge;;Mächtige Sturmtaktik;Táctica de carga poderosa;;;;;;;;;x
awesomer_charge_tactic;Nepøekonatelná útoèná taktika;Charge écrasante;;Überwältigende Sturmtaktik;Táctica de carga abrumadora;;;;;;;;;x
romanian;Vlach;valaque;;Walachisch;Valaco;;;;;;;;;x
ca_town_1;Hradní vesnice;Bourg fortifié;;Burgstädtchen;Pueblo del castillo;;;;;;;;;x
ca_town_2;Hradní vesnice;Bourg fortifié;;Burgstädtchen;Pueblo del castillo;;;;;;;;;x
ca_town_3;Hradní vesnice;Bourg fortifié;;Burgstädtchen;Pueblo del castillo;;;;;;;;;x
ca_town_4;Hradní vesnice;Bourg fortifié;;Burgstädtchen;Pueblo del castillo;;;;;;;;;x
ca_town_5;Hradní vesnice;Bourg fortifié;;Burgstädtchen;Pueblo del castillo;;;;;;;;;x
ca_town_6;Hradní vesnice;Bourg fortifié;;Burgstädtchen;Pueblo del castillo;;;;;;;;;x
tp_barracks_1;Ubikace mìstskıch stráí;Quartiers de la milice;;Kirchenmilizquartiere;Cuarteles de la milicia de la iglesia;;;;;;;;;x
tp_barracks_2;Ubikace milicí;Quartiers de la milice;;Kirchenmilizquartiere;Cuarteles de la milicia de la iglesia;;;;;;;;;x
tp_barracks_3;Ubikace milicí;Quartiers de la milice;;Kirchenmilizquartiere;Cuarteles de la milicia de la iglesia;;;;;;;;;x
tp_barracks_4;Ubikace milicí;Quartiers de la milice;;Kirchenmilizquartiere;Cuarteles de la milicia de la iglesia;;;;;;;;;x
tp_barracks_5;Ubikace milicí;Quartiers de la milice;;Kirchenmilizquartiere;Cuarteles de la milicia de la iglesia;;;;;;;;;x
tp_barracks_6;Ubikace milicí;Quartiers de la milice;;Kirchenmilizquartiere;Cuarteles de la milicia de la iglesia;;;;;;;;;x
k_andalusia_adj;Andaluská;andalouse;;Andalusisch;Andalusí;;;;;;;;;x
DIFFRATING_0;Nemoná;Impossible;;Unmöglich;Imposible;;;;;;;;;x
DIFFRATING_10;Témìø nemoná;Presque impossible;;Fast unmöglich;Casi imposible;;;;;;;;;x
DIFFRATING_20;Velmi tìká;Très difficile;;Sehr schwer;Muy difícil;;;;;;;;;x
DIFFRATING_30;Tìká;Difficile;;Schwer;Difícil;;;;;;;;;x
DIFFRATING_40;Celkem tìká;Relativement difficile;;Relativ schwer;Relativamente difícil;;;;;;;;;x
DIFFRATING_50;Normální;Normal;;Normal;Normal;;;;;;;;;x
DIFFRATING_60;Relativnì jednoduchá;Relativement facile;;Relativ einfach;Relativamente fácil;;;;;;;;;x
DIFFRATING_70;Jednoduchá;Facile;;Einfach;Fácil;;;;;;;;;x
DIFFRATING_80;Velmi jednoduchá;Très facile;;Sehr einfach;Muy fácil;;;;;;;;;x
DIFFRATING_90;Velice jednoduchá;Trop facile;;Zu einfach;Demasiado fácil;;;;;;;;;x
DIFFRATING_100;Nejjednodušší;Inutile;;Sinnlos;Sin sentido;;;;;;;;;x
WAR_NAME_OTHER_CLAIM;$ORDER$$FIRST_ADJ$ válka s $CLAIMANT$ o nárok na $OTHER_TITLE$;$ORDER$Guerre de revendication de $CLAIMANT$ sur $OTHER_TITLE$;;$ORDER$$FIRST_ADJ$er Krieg um $CLAIMANT$s Anspruch auf $OTHER_TITLE$;$ORDER$Guerra $FIRST_ADJ$ por la reclamación de $CLAIMANT$ sobre $OTHER_TITLE$;;;;;;;;;x
WAR_NAME_OTHER_DEJURECLAIM;$ORDER$$FIRST_ADJ$ válka vévodù z $CLAIMANT$ o nárok na $OTHER_TITLE$;$ORDER$Guerre de revendication ducale de $CLAIMANT$ sur $OTHER_TITLE$;;$ORDER$$FIRST_ADJ$er Herzogskrieg um $CLAIMANT$´s Anspruch auf $OTHER_TITLE$;$ORDER$Guerra Ducal $FIRST_ADJ$ por la reclamación de $CLAIMANT$ sobre $OTHER_TITLE$;;;;;;;;;x
WAR_NAME_OTHER_DEJUREBARONYCLAIM;$ORDER$$FIRST_ADJ$ válka hrabat z $CLAIMANT$ o nároky k $OTHER_TITLE$;$ORDER$Guerre de revendication comtale de $CLAIMANT$ sur $OTHER_TITLE$;;$ORDER$$FIRST_ADJ$er Grafschaftskrieg um $CLAIMANT$s Anspruch auf $OTHER_TITLE$;$ORDER$Guerra Condal $FIRST_ADJ$ por la reclamación de $CLAIMANT$ sobre $OTHER_TITLE$;;;;;;;;;x
WAR_NAME_OTHER_SUCCESSION;$ORDER$$FIRST_ADJ$ válka o dosazení $CLAIMANT$ v $SECOND$;$ORDER$Guerre $FIRST_ADJ$ pour placer $CLAIMANT$ sur le trône de $SECOND$;;$ORDER$$FIRST_ADJ$er Krieg zur Einsetzung von $CLAIMANT$ in $SECOND$;$ORDER$Guerra $FIRST_ADJ$ para poner a $CLAIMANT$ en el trono de $SECOND$;;;;;;;;;x
IS_NOT_DE_JURE_LIEGE_OR_ABOVE;Toto NENÍ 'de jure' feudál;N'est pas seigneur de jure ni au-delà;;Ist NICHT De-jure-Lehnsherr oder ranghöher;NO es señor o superior de iure;;;;;;;;;x
IS_DE_JURE_LIEGE_OR_ABOVE;Toto je 'de jure' feudál;Est seigneur de jure ou au-delà;;Ist De-jure-Lehnsherr oder ranghöher;Es señor o superior de iure;;;;;;;;;x
MAXIMUM_RAISABLE_LEVY;Zemská hotovost k dispozici dle zákonù: §Y$VALUE$%§!;Levées à disposition grâce aux lois : §Y$VALUE$%§!;;Rechtsbedingte Wehrpflichtigenverfügbarkeit: §Y$VALUE$%§!;Leva disponible merced a las leyes: §Y$VALUE$%§!;;;;;;;;;x
LEVY_PERC_DESC;Máme dovoleno zvıšit zemskou hotovost o §Y$PERC$%§W;Nous sommes autorisés à lever les §Y$PERC$%§W supérieurs des troupes.;;Uns ist gestattet, §Y$PERC$%§W der Aufgebote auszuheben;Se nos permite reclutar el máximo §Y$PERC$%§W de la leva;;;;;;;;;x
RAISABLE_AMOUNT_LEVY;Díky zákonùm (§Y$MAX$%§!) a vztahùm (§Y$OPINION$%§!), lze zvıšit o §Y$PERCENT$%§! zemskou hotovost;Les lois (§Y$MAX$%§!) et l'opinion (§Y$OPINION$%§!) nous permettent de lever §Y$PERCENT$%§! des troupes.;;Rechtsbedingt (§Y$MAX$%§!) und meinungsbedingt (§Y$OPINION$%§!) können wir §Y$PERCENT$%§! der Aufgebote ausheben;Merced a las leyes(§Y$MAX$%§!) y la opinión(§Y$OPINION$%§!), podemos reclutar el §Y$PERCENT$%§! de la leva;;;;;;;;;x
MINIMUM_RAISABLE_LEVY;Nicménì, máme ještì dovoleno zvıšit zemskou hotovost o§Y$PERCENT$%§! procent;Mais nous sommes toujours autorisés à lever au moins §Y$PERCENT$%§! des troupes.;;Uns ist aber stets gestattet, mindestens §Y$PERCENT$%§! der Aufgebote auszuheben;No obstante, siempre se nos permite reclutar al menos el §Y$PERCENT$%§! de la leva;;;;;;;;;x
AI_WE_ARE_TOTALLY_BEATEN;Jsme totálnì poraeni;Nous sommes totalement vaincus.;;Wir sind total am Ende;Nos han vencido totalmente;;;;;;;;;x
AI_THIS_IS_GOOD_FOR_US;To nejlepší v co mohu doufat;Je ne pouvais pas espérer mieux.;;Auf mehr kann ich nicht hoffen;Lo mejor que puedo esperar;;;;;;;;;x
AI_WE_ARE_WINNING_SMALL;Vše se daøí jak má;Les choses vont dans mon sens.;;Es läuft definitiv gut für mich;Las cosas van como deseo;;;;;;;;;x
AI_WE_ARE_WINNING_BIG;Ji jsem vyhrál, vzdej se a já tì ušetøím;J'ai déjà gagné. Si vous vous rendez maintenant, vous aurez la vie sauve.;;Ich habe bereits gewonnen. Ergebt Euch sofort und ich werde Euer Leben verschonen;Ya he vencido, ríndete y te perdonaré la vida;;;;;;;;;x
AI_WE_ARE_LOSING_SMALL;Tak pojï ty bábovko!;Allez, mauviette !;;Komm schon, du Weichei!;¡Vamos, cobarde!;;;;;;;;;x
AI_WE_ARE_LOSING;To je jen povrchové zranìní!;Ce n'est qu'une blessure de chair !;;Das ist doch nur eine Fleischwunde!;¡Solo es una herida superficial!;;;;;;;;;x
AI_WE_ARE_LOSING_BIG;Prohrávám, ale ještì nejsem poraen…;Je perds, mais je ne renonce pas...;;Ich bin am Verlieren, aber ich werde noch nicht aufgeben ...;Estoy perdiendo, pero no voy a rendirme aún...;;;;;;;;;x
AIREASON_OUR_PRISONER;Je tvùj vìzeò;Est notre prisonnier;;Ist unser Gefangener;Es nuestro prisionero;;;;;;;;;x
CREATING_PROVINCE;Vytvoøit provincii;Création de comtés;;Provinzen erstellen;Creación de provincias;;;;;;;;;x
LEDGER_OUR_CLAIMANTS;Tvoje nároky;Nos prétendants;;Unsere Titelforderer;Nuestros pretendientes;;;;;;;;;x
LEDGER_CLAIMS;Nároky;Revendications;;Ansprüche;Reclamaciones;;;;;;;;;x
LEDGER_HEADER_VASSALS;Tvùj pøímı vazal;Nos vassaux directs;;Eure direkten Vasallen;Tus vasallos directos;;;;;;;;;x
LEDGER_HEADER_ALL_VASSALS;Všichni vazalové v panství;Nos vassaux directs et indirects;;Alle Vasallen im Reich;Todos los vasallos del reino;;;;;;;;;x
LEDGER_HEADER_COURTIERS;Tvùj dvùr;Notre Cour;;Euer Hof;Tu corte;;;;;;;;;x
LEDGER_COUNCILLOR;Èlen rady;Conseiller;;Ratsmitglied;Consejero;;;;;;;;;x
LEDGER_COURTIER;Dvoøan;Courtisan;;Höfling;Cortesano;;;;;;;;;x
LEDGER_PRISONER;Vìzeò;Prisonnier;;Gefangener;Prisionero;;;;;;;;;x
LEDGER_HEADER_REALM_LEVIES;Tvoje královské vojsko;Nos levées de troupes;;Aufgebote Eures Reichs;Levas de tu reino;;;;;;;;;x
LEDGER_TOTAL;Celkem;Total;;Gesamt;Total;;;;;;;;;x
LEDGER_SETTLEMENT_BUILDING;Stávající stavba;Actuellement en construction;;Im Bau:;Edificios en la actualidad;;;;;;;;;x
ENDGAME_TEXT_ENDGAME;Nastal èas renesance, co má za následek pomalı konec evropského feudálního období;La Renaissance déferle sur l'Europe et l'époque féodale s'achève. ;;Die Renaissance fegt über Europa und die Feudalzeit neigt sich ihrem Ende.;El Renacimiento recorre Europa y la época feudal toca a su fin. ;;;;;;;;;x
ENDGAME_TEXT_LANDLESS;Po vládì $NUMCHARS$ panovníkù jsi ztratil i svùj poslední hrabìcí titul. $ENDCHAR$ se tak stal minulostí... ;Après avoir incarné $NUMCHARS$ personnages, vous avez perdu votre dernier comté. $ENDCHAR$ disparaît dans l'obscurité... ;;Nachdem Ihr $NUMCHARS$ Charaktere gespielt habt, büßt Ihr Eure letzte Grafschaft ein. $ENDCHAR$ gerät in Vergessenheit ...;Tras jugar con $NUMCHARS$ personajes, has perdido tu último condado. $ENDCHAR$ cae en el olvido... ;;;;;;;;;x
COMBATEND_PIETY_LOST;§Zbonosti ztraceno v bitvì§!;§Y[Player.Religion.GetPietyName] perdue lors de la bataille§!;;§Y[Player.Religion.GetPietyName] im Gefecht verloren§!;§Y[Player.Religion.GetPietyName] perdida en batalla§!;;;;;;;;;x
COMBATEND_WEALTH_STOLEN_LOST;§Zlata ztraceno bìhem obléhání§!;§YOr perdu lors du siège§!;;§YGold im Gefecht verloren§!;§YOro perdido en asedio§!;;;;;;;;;x
COMBATEND_PRESTIGE_LOST;§Prestie ztraceno v bitvì§!;§YPrestige perdu lors de la bataille§!;;§YPrestige im Gefecht verloren§!;§YPrestigio perdido en batalla§!;;;;;;;;;x
COMBATEND_PIETY_SIEGE_LOST;§Zbonosti ztraceno bìhem obléhání§!;§Y[Player.Religion.GetPietyName] perdue lors du siège§!;;§Y[Player.Religion.GetPietyName] bei Belagerung verloren§!;§Y[Player.Religion.GetPietyName] perdida en asedio§!;;;;;;;;;x
COMBATEND_PIETY_SIEGE;§Zbonosti získáno bìhem obléhání§!;§Y[Player.Religion.GetPietyName] acquise lors du siège§!;;§Y[Player.Religion.GetPietyName] bei Belagerung gewonnen§!;§Y[Player.Religion.GetPietyName] lograda en asedio§!;;;;;;;;;x
ASSAULT_DESC;§YPokus o útok§!;§YTenter un assaut§!;;Angriff auf Besitztum;Intento de asaltar posesión;;;;;;;;;x
ASSAULT_ALREADY_ASSAULTING;Èelní útok pøipraven;Propriété déjà prise d'assaut;;Angriff auf Besitztum ist bereits im Gange;La posesión ya está siendo asaltada;;;;;;;;;x
ASSAULT_NOT_LEADING_SIEGE;Nemùeme dát pøíkaz k útoku, jeliko nevedeme obléhání;Dans la mesure où nous ne menons pas le siège, nous ne pouvons ordonner aucun assaut.;;Wir können keinen Angriff befehlen, da wir die Belagerung nicht anführen;No podemos ordenar un asalto por que no lideramos el asedio;;;;;;;;;x
ASSAULT_ENOUGH_DAYS;Mùeme dát pøíkaz k èelnímu útoku, ale nejspíš budeme mít tìké ztráty a neuspìjeme;Nous pouvons ordonner un assaut contre la propriété, mais nous risquons alors de subir de lourdes pertes.;;Wir können einen Angriff auf das Besitztum befehlen, aber dabei könnten wir schwere Verluste erleiden;Podemos ordenar el asalto a la posesión, pero podríamos sufrir graves pérdidas si lo intentamos;;;;;;;;;x
ASSAULT_DAYSREQ;Èas potøebnı k zahájení èelního útoku: §Y$DAYS$§! Dní;Délai requis avant de tenter un assaut : §Y$DAYS$§! jours;;Erforderliche Tage vor Angriffsversuch: §Y$DAYS$§!;Tiempo requerido para intentar el asalto: §Y$DAYS$§! día(s);;;;;;;;;x
ASSAULT_FORTLEVEL_DAYS;Základní èas odvislı od velikosti pevnosti: §Y$DAYS$§!;Nombre de jours en fonction du niveau de fortification : §Y$DAYS$§!;;Von Festungsstärke abhängende Grundtage: §Y$DAYS$§!;Días mínimos en función del nivel de la fortificación: §Y$DAYS$§!;;;;;;;;;x
ASSAULT_RELATIVE_SIZE;Èas poníenı o relativní sílu armády: $PERC$;Réduction du délai en fonction de la puissance relative de l'armée : $PERC$;;Auf relativer Armeestärke basierender Zeitabzug: $PERC$;Reducción de tiempo basada en el poder relativo del ejército: $PERC$;;;;;;;;;x
ASSAULT_NOT_ENOUGH_DAYS;Potøebujeme ještì §Y$DAYS_LEFT$§! dní k dokonèení našich obléhacích strojù;Il nous faut encore §Y$DAYS_LEFT$§! jours pour achever la construction de nos armes de siège.;;Tage bis zur Fertigstellung unserer Belagerungswaffen: §Y$DAYS_LEFT$§!;Precisamos §Y$DAYS_LEFT$§! día(s) más para terminar la construcción de nuestras armas de asedio;;;;;;;;;x
BASE_TROOP_VALUE_GARRISON;Základní velikost posádky: $VALUE$;Taille de la garnison de base : $VALUE$;;Basis-Garnisonsgröße: $VALUE$;Tamaño de la guarnición de la base: $VALUE$;;;;;;;;;x
MODIFIED_TROOP_VALUE_GARRISON;Celková velikost posádky: §Y$VALUE$§!;Taille finale de la garnison : §Y$VALUE$§!;;Endgültige Garnisonsgröße: §Y$VALUE$§!;Tamaño final de la guarnición: §Y$VALUE$§!;;;;;;;;;x
occupied;Nedávno podmanìné;Récemment conquis;;Kürzlich erobert;Recientemente Conquistado;;;;;;;;;x
occupied_different_religion;Nedávno podmanìné (jiné náboenství);Récemment conquis (religion différente);;Kürzlich erobert (andere Religion);Recientemente conquistado (diferente religión);;;;;;;;;x
occupied_different_religiongroup;Nedávno podmanìné (jiná náboenská skupina);Récemment conquis (groupe religieux différent);;Kürzlich erobert (andere Religionsgruppe);Recientemente conquistado (diferente grupo religioso);;;;;;;;;x
occupied_different_culture;Nedávno podmanìné (jiná kultura);Récemment conquis (culture différente);;Kürzlich erobert (andere Kultur);Recientemente conquistado (diferente cultura);;;;;;;;;x
occupied_different_culturegroup;Nedávno podmanìné (jiná kulturní skupina);Récemment conquis (groupe culturel différent);;Kürzlich erobert (andere Kulturgruppe);Recientemente conquistado (diferente grupo cultural);;;;;;;;;x
UNITVIEW_RAISABLE_DESC;Povoláno / Nepovoláno / Max mnoství;Effectifs mobilisés / Effectifs non mobilisés / Effectifs totaux;;Ausgehoben / Nicht ausgehoben / Max gesamt;Recaudado/No recaudado/Total máximo;;;;;;;;;x
tut_menu_9;Úvod;Introduction;;Einführung;Introducción;;;;;;;;;x
tut_menu_9_description;Tato èást tutoriálu tì provede nejzákladnìjšími prvky toho co Crusader Kings II je a jak se hraje;Ce didacticiel présente les bases de Crusader Kings II et de son utilisation.;;Dieses Tutorial wird Euch die grundlegendsten Teile von Crusader Kings II vorstellen, und wie das Spiel gespielt wird.;Con este tutorial aprenderás lo básico de Crusader Kings II y cómo jugar.;;;;;;;;;x
tut_menu_0;Feudální systém;Le système féodal;;Das Feudalsystem;El sistema feudal;;;;;;;;;x
tut_menu_0_description;Dozvíš se nìco o hierarchii titulù;Familiarisez-vous avec la hiérarchie des titres.;;Erfahrt etwas über die Titelhierarchie;Aprende sobre la jerarquía de títulos;;;;;;;;;x
tut_1b_2;Jak mùeš vidìt nahoøe vpravo, poèet všech pøímo tebou drenıch drav je limitován. Pokud tento limit pøekroèíš, bude to mít negativní vliv na názor tvıch vazalù na tebe a rovnì i obdríš daòovı postih.;Comme vous pouvez le voir en haut à droite de l'écran, le nombre de propriétés sur lesquelles vous disposez d'un contrôle direct est limité. Si vous franchissez cette limite, vous en subirez les conséquences négatives sous la forme de sanctions fiscales et l'opinion de vos vassaux à votre égard baissera.;;Wie Ihr oben rechts seht, gibt es ein Limit dafür, wie viele Besitztümer Ihr direkt kontrollieren könnt. Wenn Ihr dieses Limit überschreitet, erleidet Ihr negative Effekte in Form von Strafsteuern und Eure Vasallen werden Euch gegenüber argwöhnisch.;Como ves arriba a la derecha, el número de posesiones que puedes controlar directamente es limitado. Si rebasas dicho límite tendrás consecuencias negativas, tales como sanciones y el rechazo de tus vasallos.;;;;;;;;;x
tut_1b_3;Abys tomu zabránil, musíš udrovat velikost svého panství byla pod tímto limitem. Mùeš tomu napomoci napøíklad pøedáváním zemskıch titulù tvım vazalùm. Nyní klikni na hrabství.;Pour éviter d'en arriver là, veillez à ne pas dépasser votre 'limite de domaine' en confiant des titres fonciers à vos vassaux. Cliquez maintenant sur un comté.;;Dies solltet Ihr vermeiden! Bleibt unter Eurem Domänenlimit, indem Ihr Euren Vasallen Landtitel verleiht. Klickt jetzt auf eine Grafschaft.;Para evitar que suceda esto, mantente dentro del límite de tu heredad entregando títulos de tierras a tus vasallos. Ahora haz clic en un condado.;;;;;;;;;x
tut_1b_4;Dravy;Propriétés;;Besitztümer;Posesiones;;;;;;;;;x
tut_1b_5;V hrabstvích se nacházejí rùzné typy drav. Na základì toho, jakou dravu v hrabství postavíš, získáváš rùzné sumy penìz z daní a rùzné typy a poèty jednotek.;Un comté peut englober différents types de propriétés. En fonction de ce que vous y construisez, les revenus fiscaux et les types de troupes générés varient.;;In einer Grafschaft kann es verschiedene Besitztumstypen geben. Je nach dem, was Ihr in der Grafschaft gebaut habt, erhaltet Ihr unterschiedlich hohe Steuerbeträge und verschiedene Truppentypen.;Un condado puede tener distintas clases de posesiones. En función de lo que construyas en el condado, obtendrás de este distintas cantidades de impuestos y diferentes tipos de soldados.;;;;;;;;;x
chapter_name_9;Úvod;Introduction;;Einführung;Introducción;;;;;;;;;x
chapter_name_0;Feudální systém;Le système féodal;;Feudalsystem;Sistema feudal;;;;;;;;;x
CROWN_LAW_DESC;Královské právo z §Y$CROWN_TITLE$§! Bylo pouito v §Y$TITLE$§!;Les lois de la Couronne de §Y$CROWN_TITLE$§! s'appliquent en §Y$TITLE$§!;;Die Krongesetze vom §Y$CROWN_TITLE$§! gelten auch für das §Y$TITLE$§!;Las leyes de la Corona del §Y$CROWN_TITLE$§! se aplican en el §Y$TITLE$§!;;;;;;;;;x
HIRE_MERC_DESC;Najmout §Y$TITLE$§W za §Y$COST$§W zlatıch. (Pøijedou do sousedství §Y$CAPITAL$§W.);Engager les mercercenaires '§Y$TITLE$§W' pour §Y$COST$§W pièces d'or (l'arrivée se fera à §Y$CAPITAL$§W ou à proximité).;;§Y$TITLE$§W für §Y$COST$§W Gold anwerben. (Sie treffen in oder nahe §Y$CAPITAL$§W ein.);Contrata §Y$TITLE$§W por §Y$COST$§W de oro. (Entrarán en o estarán cerca de §Y$CAPITAL$§W.);;;;;;;;;x
SIEGE_LEAD_BY;Pokud obléhání bude úspìšné, tak novım správcem §Y$SETTLEMENT$§! se stane §Y$TITLE$§!;En cas de victoire du siège, §Y$SETTLEMENT$§! tombera sous le contrôle de §Y$TITLE$§!;;Bei siegreicher Belagerung wird der Kontrolleur von §Y$SETTLEMENT$§! zum §Y$TITLE$§!;Si el asedio tiene éxito, el supervisor de §Y$SETTLEMENT$§! será el §Y$TITLE$§!;;;;;;;;;x
REORG_DESC;Pøeorganizovat jednotky;Réorganiser l'unité;;Einheit reorganisieren;Reorganizar unidad;;;;;;;;;x
REORG_CANCEL_DESC;Zavøít reorganizaèní okno;Fermer la fenêtre de réorganisation;;Reorganisationsfenster schließen;Cerrar ventana de reorganización;;;;;;;;;x
DEFENDER_LEVY;§YBránící zemská hotovost§!;Levée provinciale;;Verteidigende Aufgebote;Defender impuesto;;;;;;;;;x
