#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
LOADING_TIP_28;Zakoupením papeského odpustku získáš další zbonost.;Achetez une indulgence papale pour gagner plus de Piété.;Erwerbt einen päpstlichen Ablass, um die Frömmigkeit zu erhöhen.;;Comprar una Indulgencia Papal para ganar Piedad.;;;;;;;;;x
mission_holy_war_desc;Sám $ROOT_CHARACTERTITLE$ vyzval ke køíové vıpravì $CRUSADE_NAME$ proti území §Y$PROVINCE$§! v dravì §Y$TOPOWNERFULLNAME$§W!;Le $ROOT_CHARACTERTITLE$ a appelé à la $CRUSADE_NAME$ pour prendre §Y$PROVINCE$§! à §Y$TOPOWNERFULLNAME$§W !;Der $ROOT_CHARACTERTITLE$ hat einen $CRUSADE_NAME$ ausgerufen, um §Y$PROVINCE$§! von §Y$TOPOWNERFULLNAME$§W zu erobern!;;El $ROOT_CHARACTERTITLE$ ha llamado a $CRUSADE_NAME$ para tomar §Y$PROVINCE$§! de §Y$TOPOWNERFULLNAME$§W!;;;;;;;;;x
TOO_MANY_HELD_DUCHIES;Pøíliš mnoho drenıch vévodství;Trop de duchés possédés;Zu viele Herzogtümer in Besitz;;Demasiados Ducados mantenidos.;;;;;;;;;x
opinion_failed_plot;Spiknutí selhalo;Échec de la conspiration;Fehlgeschlagene Verschwörung;;Complot fallido.;;;;;;;;;x
e_il-khanate_adj;Ílchanát;mongole;Mongolisch;;Mongola;;;;;;;;;x
AIREASON_WILL_NOT_PLOT_AGAINST_OFFSPRING;Nejde strojit spiknutí proti potomstvu.;Ne conspirera pas contre sa descendance;Wird keine Verschwörung gegen die Nachkommen anzetteln.;;No haremos un Complot contra la descendencia.;;;;;;;;;x
AIREASON_CLAIM_ON_MY_TITLES;§Y[GetBestName]§! získal nárok na mùj titul.;[Get_only_Le_Title]§Y[GetBestName]§! revendique mes titres.;§Y[GetBestName]§! erhebt Ansprüche auf meine Titel.;;§Y[GetBestName]§! ha reclamado mis títulos.;;;;;;;;;x
AIREASON_HOSTAGE_SITUATION;Z dítìte poslaného k cizákùm se mùe stát lehce rukojmí;L'enfant serait otage d'une puissance étrangère;Das Kind wäre eine Geisel fremder Mächte;;El niño sería un rehén en manos de un poder extranjero;;;;;;;;;x
ASK_TO_LIFT_EXCOMMUNICATION_INTERACTION_0;Poádat §Y[Actor.RelHead.GetTitledFirstName]§W, zda by bylo moné exkomunikovat §Y[ThirdPartyCharacter.GetBestName]§W. Toto tì bude stát §R$COST$§W zbonosti.;Demander au §Y[Actor.RelHead.GetTitledFirstName]§W de lever l'excommunication [ThirdPartyCharacter.Get_only_du_Title]§Y[ThirdPartyCharacter.GetBestName]§W. Cela vous coûtera §R$COST$§W points en piété.;Bittet §Y[Actor.RelHead.GetTitledFirstName]§W darum, die Exkommunikation von §Y[ThirdPartyCharacter.GetBestName]§W aufzuheben. Dies wird Euch §R$COST$§W Frömmigkeit kosten.;;Pregunta a §Y[Actor.RelHead.GetTitledFirstName]§W para revocar la excomunión de §Y[ThirdPartyCharacter.GetBestName]§W. Esto te costará §R$COST$§W de Piedad.;;;;;;;;;x
ASK_FOR_DIVORCE_INTERACTION_0;Poádat §Y[Actor.RelHead.GetTitledFirstName]§W o rozvod s §Y[Actor.Spouse.GetFirstName]§W. Toto tì bude stát §R$COST$§W zbonosti a pokud bude schválena, tak vztahy s rodinou [Actor.Spouse.GetPossPronoun].;Demander au §Y[Actor.RelHead.GetTitledFirstName]§W l'annulation du mariage avec §Y[Actor.Spouse.GetFirstName]§W. Cela vous coûtera §R$COST$§W points de [Player.Religion.GetPietyName] et, si l'annulation est prononcée, cela sera considéré comme une insulte par sa famille.;Bittet §Y[Actor.RelHead.GetTitledFirstName]§W um eine Scheidung von §Y[Actor.Spouse.GetFirstName]§W. Dies wird Euch §R$COST$§W [Player.Religion.GetPietyName] kosten und sofern die Scheidung gewährt wird, wird dies von den Verwandten von [Actor.Spouse.GetFirstName] als Beleidigung aufgefasst werden.;;Solicita a §Y[Actor.RelHead.GetTitledFirstName]§W el divorcio de §Y[Actor.Spouse.GetFirstName]§W. Esto te costará §R$COST$§W de [Player.Religion.GetPietyName] y, si se te concede, será visto como un insulto a su familia.;;;;;;;;;x
EVTOPTB620;Proklínejme nevìøící!;Mort aux infidèles !;Verfluchte Ungläubige!;;¡Malditos infieles!;;;;;;;;;x
EVTOPTA621;Toto je pro všechny èernı den!;Un jour bien sombre !;Ein Schwarzer Tag!;;¡Un día negro!;;;;;;;;;x
EVTOPTB621;Jak ubohé...;Pathétique...;Erbärmlich ...;;Patético...;;;;;;;;;x
WARSCORE_LESS_THAN;Má váleèné skóre horší, ne ;A un score de guerre pire que;Hat einen Krieg mit einem Ergebnis schlechter als;;Tiene una guerra con un resultado peor que;;;;;;;;;x
WARSCORE_MORE_THAN;Má váleèné skóre lepší, ne ;A un score de guerre meilleur que;Hat einen Krieg mit einem Ergebnis besser als;;Tiene una guerra con un resultado mejor que;;;;;;;;;x
TACTICAL_ADVANTAGE;Bonus proti §Y$TACTIC$§!: $PERC$;Bonus contre §Y$TACTIC$§! : $PERC$;Bonus gegen §Y$TACTIC$§!: $PERC$;;Bonus contra §Y$TACTIC$§!: $PERC$;;;;;;;;;x
LEADER_MARTIAL_SKILL;Váleèná dovednost §Y$WHO$§!: $PERC$;Aptitude au combat de §Y$WHO$§! : $PERC$;Kriegerische Fähigkeit von §Y$WHO$§!: $PERC$;;Habilidad marcial de §Y$WHO$§!: $PERC$;;;;;;;;;x
FLANKING_BONUS;Útok z køídla: $PERC$;Attaque de flanc : $PERC$;Flankieren: $PERC$;;Flanqueo: $PERC$;;;;;;;;;x
AI_REJECT_STILL_A_NO;Stále nepøijal tvou nabídku;Je ne veux toujours pas de votre proposition.;Ich werde Euer Angebot weiterhin nicht akzeptieren;;Sigo sin aceptar tu propuesta;;;;;;;;;x
PLAYER_SUCCESSOR_CHANGED_LOG;Máš nového dìdice. Pokud hlavní postava zemøe, budeš pokraèovat jako §Y$NEW_SUCCESSOR$§!;Vous avez un nouvel héritier. Si votre personnage meurt, vous incarnerez §Y$NEW_SUCCESSOR$§!.;Ihr habt einen neuen Erben. Sollte Euer Charakter nun sterben, werdet Ihr fortan als §Y$NEW_SUCCESSOR$§! weiterspielen.;;Ahora tienes un nuevo Heredero. Si tu personaje muere ahora, jugarás como §Y$NEW_SUCCESSOR$§!.;;;;;;;;;x
TOPLIEGE_TROOPS_TOTAL;Celková zemská hotovost feud. pánù: §Y$TROOPS$§!;Levée totale du souverain : §Y$TROOPS$§!;Gesamtes Aufgebot des obersten Lehnsherren: §Y$TROOPS$§!;;Reclutas totales del señor principal: §Y$TROOPS$§!;;;;;;;;;x
TOPLIEGE_TROOPS_CURRENT;Stávající zemská hotovost feud. pánù: §Y$TROOPS$§!;Levée actuelle du souverain : §Y$TROOPS$§!;Derzeitiges Aufgebot des obersten Lehnsherren: §Y$TROOPS$§!;;Reclutas actuales del señor principal: §Y$TROOPS$§!;;;;;;;;;x
OWN_TROOPS_TOTAL;Celková zemská hotovost $CHAR$: §Y$TROOPS$§!;Contribution totale de $CHAR$ : §Y$TROOPS$§!;Gesamtes Aufgebot von $CHAR$: §Y$TROOPS$§!;;Reclutas totales de $CHAR$: §Y$TROOPS$§!;;;;;;;;;x
OWN_TROOPS_CURRENT;Stávající zemská hotovost $CHAR$: §Y$TROOPS$§!;Contribution actuelle de $CHAR$ : §Y$TROOPS$§!;Derzeitiges Aufgebot von $CHAR$: §Y$TROOPS$§!;;Reclutas actuales de $CHAR$: §Y$TROOPS$§!;;;;;;;;;x
RELATIVE_STRENGTH;Relativní síla: §Y$STRENGTH$§!;Force relative : §Y$STRENGTH$§!;Relative Stärke: §Y$STRENGTH$§!;;Fuerza relativa: §Y$STRENGTH$§!;;;;;;;;;x
CURRENT_RELATIVE_STRENGTH;Souèasná relativní síla: §Y$STRENGTH$§!;Force relative actuelle : §Y$STRENGTH$§!;Derzeitige relative Stärke: §Y$STRENGTH$§!;;Fuerza relativa actual: §Y$STRENGTH$§!;;;;;;;;;x
VASSAL_HOLDINGS;Vazalské dravy: §Y$HOLDINGS$§!;Propriétés des vassaux : §Y$HOLDINGS$§!;Vasallen-Besitztümer: §Y$HOLDINGS$§!;;Posesiones de los vasallos: §Y$HOLDINGS$§!;;;;;;;;;x
LOADING_LOCAL_SAVE;Nahrávám...;Chargement de la sauvegarde locale...;Lokale Speicherung wird geladen ...;;Cargando partida guardada local...;;;;;;;;;x
CB_NAME_DEPOSE_LIEGE;Sesadit feud. pána;Renverser le seigneur lige;Den Lehnsherren absetzen;;Destituir al señor feudal;;;;;;;;;x
WAR_NAME_DEPOSE_LIEGE;$ORDER$$FIRST_ADJ$ válka o sesazení $DEFENDER$;$ORDER$Guerre $FIRST_ADJ$ pour déposer $DEFENDER$.;$ORDER$$FIRST_ADJ$er Krieg, um $DEFENDER$ abzusetzen;;$ORDER$ Guerra $FIRST_ADJ$ para deponer a $DEFENDER$;;;;;;;;;x
depose_liege_desc;§Y$CLAIMANT$§! se mùe pokusit sesadit §Y$TARGET$§! a jmenovat §Y$CLAIMANT$§! jako hlavního nástupce;§Y$CLAIMANT$§! peut tenter de renverser §Y$TARGET$§! et de désigner son héritier préféré;§Y$CLAIMANT$§! kann versuchen, §Y$TARGET$§! abzusetzen und den bevorzugten Erben von §Y$CLAIMANT$§! einzusetzen;;§Y$CLAIMANT$§! puede intentar destituir a §Y$TARGET$§! y proclamar al heredero favorito de §Y$CLAIMANT$§!;;;;;;;;;x
issue_declaration_of_repentance;Pokus o projev pokání a lítosti;Envoyer une déclaration de repentance;Deklaration der Reue veranlassen;;Emitir declaración de redención;;;;;;;;;x
repentance_ask;Svatı otec urèitì ocení tvé pokání.;Le Saint-Père écoutera notre demande de pardon.;Der Heilige Vater wird unser Flehen um Erlösung anhören. ;;El Santo Padre escuchará nuestra oración de salvación.;;;;;;;;;x
made_repentance;Projev lítost;S'est repenti;Reue erwiesen;;Redención aceptada;;;;;;;;;x
refused_making_repentance;Nebudu litovat, nic špatného jsem neprovedl;A refusé de se repentir;Reue verweigert;;Redención denegada;;;;;;;;;x
EVTDESC39252;Z [From.GetBestName] pøijel posel, s prosbou o odpuštìní høíchù. I kdy jeou jeho høíchy tìké, je to známka upøímné lítosti a odvolám jeho exkomunikaci.;Un émissaire est venu de la part [From.Get_only_du_Title][From.GetBestName] dans le but de se repentir de ses péchés. Bien que les péchés commis soient très graves, cette venue est la preuve de regrets sincères, je lèverai donc son excommunication.;Ein Abgesandter von [From.GetBestName] kommt in der Hoffnung, dass [From.GetHerHis]e Sünden vergeben werden. Während [From.GetSheHe] einige sehr große Sünden begangen hat, zeugt dies von aufrichtiger Reue, sodass ich die Exkommunizierung aufheben werde.;;Un emisario viene de parte de [From.GetBestName] con la esperanza de redimir sus pecados. Aunque [From.GetSheHe] ha cometido pecados muy graves, esto muestra un arrepentimiento sincero y revocaré su excomunión.;;;;;;;;;x
EVTOPTA39252;Zrušte jeho exkomunikaci.;Lever son excommunication.;[From.GetHerHisCap]e Exkommunikation aufheben.;;Revocar su excomunión.;;;;;;;;;x
EVTTOOLTIP39253;rozplakal se radostí nad tvou odpovìdí;pleurera de joie en voyant notre réponse.;wird aufgrund unserer Antwort Tränen der Freude vergießen.;;llorará lágrimas de alegría con nuestra respuesta.;;;;;;;;;x
EVTDESC39253;Svatı otec souhlasil se zrušením mé exkomunikace!;Le Saint-Père a accepté de lever mon excommunication !;Der Heilige Vater hat zugestimmt, meine Exkommunikation aufzuheben! ;;¡El Santo Padre ha accedido a revocar la excomunión contra mi!;;;;;;;;;x
EVTOPTA39253;Dìkujme bohu!;Gloire à Dieu !;Ehre sei Gott!;;¡Gloria a Dios!;;;;;;;;;x
EVTOPTB39253;I lítost má svojí cenu, ale tohle je pøíliš...;La repentance a un prix... bien trop élevé !;Reue hat ihren Preis, aber dies ist wirklich zu viel ...;;La redención tiene un precio, pero este es demasiado elevado...;;;;;;;;;x
EVTOPTB39251;I zbonost má svojí cenu, ale tohle je pøíliš...;La [Player.Religion.GetPietyName] a un prix... bien trop élevé !;[Player.Religion.GetPietyName] hat ihren Preis, aber dies ist wirklich zu viel ...;;La [Player.Religion.GetPietyName] tiene un precio, pero este es demasiado elevado...;;;;;;;;;x
chapter_name_6;Válka;Guerre;Krieg;;Guerra;;;;;;;;;x
chapter_name_5;Vojsko a boj;Armée et Combat;Militär und Kampf;;Ejército y Combate;;;;;;;;;x
DOWNLOADING;Stahování $DLC$;Téléchargement de $DLC$;$DLC$ wird heruntergeladen;;Descargando $DLC$;;;;;;;;;x
DOWNLOAD_PROGRESS;Stahování souboru $FILE$/$FILE_MAX$\n\n$COUNT$B staeno;Téléchargement de fichiers : $FILE$/$FILE_MAX$\n\n$COUNT$B téléchargés;Die Datei wird heruntergeladen $FILE$/$FILE_MAX$\n\n$COUNT$B heruntergeladen;;Descargando archivo $FILE$/$FILE_MAX$\n\n$COUNT$B descargado.;;;;;;;;;x
STORE_REINSTALL;Pøeinstalovat;Réinstaller;Neuinstallation;;Reinstalar.;;;;;;;;;x
STORE_BUY;Koupit;Acheter;Kaufen;;Comprar;;;;;;;;;x
STORE_NEED_REINSTALL;Pøeinstalovat §Y$ITEM$§! DLC;Réinstaller le DLC §Y$ITEM$§!;§Y$ITEM$§! DLC neu installieren;;Reinstalar contenido descargable §Y$ITEM$§!;;;;;;;;;x
STORE_FAILED_DOWNLOAD;Nìkteré èásti nejsou nainstalovány správnì a proto je potøeba je znovu stáhnout;Certains fichiers ne se sont pas installés correctement et doivent être téléchargés de nouveau;Einige Dateien wurden nicht korrekt installiert und müssen erneut heruntergeladen werden;;Algunos archivos no se han instalado correctamente y necesitan descargarse de nuevo.;;;;;;;;;x
STORE_CANCEL;Zrušit;Annuler;Abbrechen;;Cancelar;;;;;;;;;x
STORE_TOPUP;Koupit Blue Coins;Acheter des pièces bleues;Blue Coins kaufen;;Comprar Monedas Azules;;;;;;;;;x
STORE_LOGIN;Pøihlásit se;Connexion;Einloggen;;Iniciar sesión;;;;;;;;;x
STORE_LOGOUT;Odhlásit se;Déconnexion;Ausloggen;;Cerrar sesión;;;;;;;;;x
STORE_WELCOME;Vítej, §Y$USERNAME$§!;Bienvenue, §Y$USERNAME$§!;Willkommen, §Y$USERNAME$§!;;Bienvenido, §Y$USERNAME$§!;;;;;;;;;x
STORE_NOT_LOGGED_IN;Pro koupi a objednání DLC musíš bıt pøihlášenı;Vous devez vous connecter pour acheter des DLC;Um diesen DLC zu erwerben, musst du dich zunächst einloggen;;Debes iniciar sesión para poder comprar contenidos descargables.;;;;;;;;;x
TRUCE;Pøímìøí;Trêve;Waffenstillstand;;Tregua;;;;;;;;;x
IS_NOT_MERCENARY;NENÍ oldák;N'est pas mercenaire;ist KEIN Söldner;;NO es mercenario;;;;;;;;;x
IS_MERCENARY;Je oldák;Est mercenaire;ist Söldner;;Es mercenario;;;;;;;;;x
NUM_OF_TITLES_LESS;Ménì ne §Y$VAL$§W $TIER$ titulù.;Moins de §Y$VAL$§W titres de rang $TIER$.;Weniger als §Y$VAL$§W $TIER$ Titel.;;Menos de §Y$VAL$§W títulos $TIER$.;;;;;;;;;x
NUM_OF_TITLES_LEAST;Více jak §Y$VAL$§W $TIER$ titulù.;Au moins §Y$VAL$§W titres de rang $TIER$.;Mindestens §Y$VAL$§W $TIER$ Titel.;;Al menos §Y$VAL$§W títulos $TIER$.;;;;;;;;;x
NUM_OF_TITLES_LESS_2;Ménì ne §Y$VAL$§W titulù.;Moins de §Y$VAL$§W titres.;Weniger als §Y$VAL$§W Titel.;;Menos de §Y$VAL$§W títulos.;;;;;;;;;x
NUM_OF_TITLES_LEAST_2;Více jak §Y$VAL$§W titulù.;Au moins §Y$VAL$§W titres.;Mindestens §Y$VAL$§W Titel.;;Al menos §Y$VAL$§W títulos.;;;;;;;;;x
TIME_UNPAUSE;Odpauzovat;Reprendre;Pause beenden;;Continuar;;;;;;;;;x
EVTDESC38201;[From.GetFirstName] se ptá, 'Tati, odkud pøicházejí dìti?';[From.GetFirstName] demande : « Père, d'où viennent les bébés ? »;[From.GetFirstName] fragt, Papa, wo kommen Kinder her?;;[From.GetFirstName] pregunta «Papá, ¿de dónde vienen los niños?»;;;;;;;;;x
EVTOPTA39000;kde je mùj [Root.Holder.GetLordSpiritualName]!?;Où est mon [Root.Holder.GetLordSpiritualName] !?;Wo ist mein [Root.Holder.GetLordSpiritualName]!?;;¿Dónde está mi [Root.Holder.GetLordSpiritualName]!?;;;;;;;;;x
EVTDESC75060;Rolníci z provincií si stìují na správce [Root.job_treasurer.GetTitledFirstName] a jeho libovùli. Posle nich [Root.job_treasurer.GetSheHe] nectí nepsaná pravidla a zákony a je špatnım hospodáøem.;Les paysans d'une comté se plaignent de la sévérité de l'intendant, [Root.job_treasurer.Get_le_TitledFirstName], ils ont l'impression que sa conception des lois n'est pas saine.;Die Bauern einer Provinz beschweren sich über die Willkür von Kämmerer [Root.job_treasurer.GetTitledFirstName]. Sie glauben, dass [Root.job_treasurer.GetSheHe] das Konzept von Regeln und Gesetzen nicht wirklich verstanden hat.;;Los campesinos de una provincia se quejan del despotismo del [This.GetTreasurerName] [Root.job_treasurer.GetTitledFirstName]. Creen que [Root.job_treasurer.GetHerHis] no entiende realmente el concepto de leyes y normas.;;;;;;;;;x
EVTOPTA75085;Pøijmout jeho myšlenky;Adopter ses idées;Übernehmt [Root.job_treasurer.GetHerHis]e Ideen;;Adoptar sus ideas;;;;;;;;;x
peasants_scorned;Opovrhování venkovskımi tradicemi;Traditions paysannes méprisées;Traditionen der Bauern verachtet;;Tradiciones campesinas despreciadas;;;;;;;;;x
tut_5a_25;Nyní vyber jednu z jednotek. Tlaèítko pro nalodìní je modré a pouitelné, take na nìj klikni. Lodì se pohybují zcela stejnì jako armády, take pro pokraèování pøesuò tuto flotilu do sousední moøské oblasti na severu, Moray Firth. Spus znovu hru a zvyš její rychlost na maximum, pokud chceš celı proces urychlit.;Maintenant, sélectionnez l'une des troupes. Le bouton d'embarquement est bleu et utilisable, cliquez dessus. Les navires se déplacent exactement comme les armées, déplacez cette flotte sur la province maritime voisine au nord, Moray Firth, pour continuer. Reprenez après avoir donné l'ordre de déplacement et augmentez la vitesse au maximum si vous souhaitez accélérer le processus.;Wählt nun eine der Truppen. Der Schalter zum an Bord gehen ist blau und benutzbar, also klickt auf ihn. Schiffe bewegen sich genauso wie Armeen, bewegt also diese Flotte zur benachbarten Seeprovinz im Norden, Moray Firth, um fortzufahren. Beendet die Pause nach Erteilen des Marschbefehls und erhöht die Geschwindigkeit auf das Maximum, wenn Ihr den Prozess beschleunigen möchtet.;;A continuación seleccione uno de los soldados. El botón de iniciar es azul y útil, así que haz clic en él. Los barcos se mueven exactamente igual que los ejércitos, de modo que mueve la flota a la provincia vecina del mar del norte, Moray Firth, para continuar. Reanuda la acción después de colocar la orden de movimiento y aumenta la velocidad al máximo si deseas acelerar el proceso.;;;;;;;;;x
tut_5a_29b;Nezapomeò hru znovu spustit, jinak nebudou rozkazy vykonány.;N'oubliez pas de reprendre, sinon votre ordre ne sera pas exécuté.;Vergesst nicht, die Pause zu beenden, oder Euer Befehl wird nicht ausgeführt.;;No olvides reanudar la acción o la orden no se ejecutará.;;;;;;;;;x
opinion_converted_province;Konvertovat provincii;Province convertie;Konvertierte Provinz;;Provincia convertida;;;;;;;;;x
EVTDESC3336;[From.GetTitledFirstName] cítí e vedeš a moc riskantní ivot. Snaí se tì pøesvìdèit a vedeš více poklidnı ivot.;[From.Get_Le_TitledFirstName] pense que je prends trop de risques avec mes frasques et a tenté de me raisonner pour que j'arrête de risquer ma vie.;[From.GetTitledFirstName] hat das Gefühl, dass ich mit meinen Eskapaden zu viel riskiere, und versucht mich davon zu überzeugen, nicht mehr mein Leben zu riskieren.;;[From.GetTitledFirstName] siente que arriesgo mucho con mis escapadas y ha intentado persuadirme de que no ponga más en riesgo mi vida.;;;;;;;;;x
EVTNAME60010;Èást Zlaté hordy konvertuje;Les Ilkhanides se convertissent;Die Ilkhanate Konvertiten;;El Ilkhanate se convierte;;;;;;;;;x
EVTOPTA60010;Èas nadešel;Le temps est venu !;Die Zeit ist gekommen!;;¡Ha llegado la hora!;;;;;;;;;x
EVTOPTB60010;Alláh má slitování!;Allah ait pitié de nous !;Möge Allah uns gnädig sein!;;¡Que Alá tenga piedad de nosotros!;;;;;;;;;x
EVTOPTC60010;Bùh má slitování!;Dieu ait pitié de nous !;Möge Gott uns gnädig sein!;;¡Que Dios tenga piedad de nosotros!;;;;;;;;;x
EVTOPTD60010;Bùh nás ochraòuj!;Que les Dieux nous viennent en aide !;Mögen die Götter uns gnädig sein!;;¡Que los Dioses nos protejan!;;;;;;;;;x
EVTNAME60020;Zlatá horda konvertuje;La Horde d'Or se convertit;Die Konvertiten der Goldenen Horde;;La Horda Dorada se convierte;;;;;;;;;x
EVTDESC8720;Øád nìmeckıch rytíøù má v úmyslu vést boje s pohany v oblasti Baltského moøe. Poskytneme jim jako pomoc nìjakou z našich provincií?;L'Ordre Teutonique souhaite s'établir dans la Baltique pour mieux combattre les païens. Afin de montrer mon soutien, je devrais peut-être leur offrir l'un de mes comtés ?;Der Teutonische Orden möchte in den Ostseeraum expandieren, um die Heiden besser bekämpfen zu können. Sollte ich ihnen vielleicht eine meiner Grafschaften anbieten, um ihnen meine Unterstützung zu zeigen? ;;La Orden Teutónica desea expandirse en el territorio Báltico a fin de combatir mejor a los paganos. Para mostrar mi apoyo, ¿debería quizás ofrecerle uno de mis condados?;;;;;;;;;x
EVTOPTA8720;Buïte vítáni;Leur présence est plus que bienvenue;Ihre Präsenz ist mehr als willkommen;;Su presencia es más que bienvenida;;;;;;;;;x
EVTOPTB8720;Nikdy nedostanou ádnou z mıch zemí;Je ne donnerai jamais mes terres;Ich würde niemals mein Land weggeben;;Nunca daré una de mis tierras;;;;;;;;;x
EVTDESC8721;Mùj pane,\npøeji si podpoøit Øád nìmeckıch rytíøù darováním èásti své zemì. ádám tímto o Tvé svolení.\n\nTvùj pokornı vazal,\n[From.GetTitledName];M[Root.GetOnA][Root.GetLordLady],\nJe souhaite soutenir l'Ordre teutonique en leur donnant un comté, et je souhaite votre accord.\n\nVotre humble vassal,\n[From.GetTitledName];Mein Fürst,\nich möchte den Teutonischen Orden unterstützen, indem ich ihm eine Grafschaft übergebe, und hoffe auf Eure Zustimmung.\n\nEuer ergebener Vasall\n[From.GetTitledName];;Mi señor,\ndeseo apoyar a la Orden Teutónica otorgándole un condado y solicito vuestra aprobación.\n\nVuestro humilde vasallo,\n[From.GetTitledName];;;;;;;;;x
EVTOPTA8721;Radìji tuto ádost nepøedloím;Je ferais mieux de laisser cette décision à m[Root.Liege.GetOnA] [Root.Liege.GetLordLady] lige;Ich überlasse diese Entscheidung lieber meinem Lehnsherrn;;Mejor dejo esta decisión a mi señor;;;;;;;;;x
EVTOPTB8721;Máš moje poehnání;Vous avez ma bénédiction;Ihr habt meinen Segen;;Tienes mi bendición;;;;;;;;;x
EVTOPTC8721;Není ádné zemì k postoupení;Aucune terre ne sera cédée;Kein Land soll abgetreten werden;;Ninguna tierra será cedida;;;;;;;;;x
