#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
ACCEPTED_PLOT_REQUEST;Podporuje spiknutí.;Soutient un complot.;Unterstützt Verschwörung.;;Apoyando un complot.;;;;;;;;;x
LOADING_TIP_52;Pøi výbìru flotil mùžete použít pouze klávesu ALT.;Vous pouvez sélectionner uniquement vos flottes en utilisant la touche ALT.;Sie können eine Auswahl nur auf Flotten treffen, indem Sie die Alt-Taste gedrückt halten.;;Puedes hacer que la tropa seleccionada se embarque usando simplemente la tecla ALT;;;;;;;;;x
EXIT;Konec;Sortie;Schließen;;Salir;;;;;;;;;x
CUT;Støih!;Coupez !;Schnitt!;;¡Cortar!;;;;;;;;;x
STYLE;Styl;Style;Stil;;Estilo;;;;;;;;;x
CAN_PERSUADE_TO_JOIN_PLOT;Místodržící;Peut être convaincu par une escarcelle d'or...;Könnte von einem Sack Gold überzeugt werden.;;Puede convencersele con un saco de oro...;;;;;;;;;x
city_job_chancellor_arabic;Místodržící;Grand vizir;Großwesir;;Gran Visir;;;;;;;;;x
city_job_chancellor_iranian;Místodržící;Grand vizir;Großwesir;;Gran Visir;;;;;;;;;x
city_job_chancellor_turkish;Místodržící;Grand vizir;Großwesir;;Gran Visir;;;;;;;;;x
city_job_chancellor_west_african;Magistros;Grand vizir;Großwesir;;Gran Visir;;;;;;;;;x
city_job_chancellor_greek;Mystikos;Magistros;Magistros;;Magistros;;;;;;;;;x
city_job_spymaster_greek;Sakellarios;Mystikos;Mystikos;;Mystikos;;;;;;;;;x
city_job_treasurer_greek;Cihuacoatl;Sakellarios;Sakellarios;;Sakellarios;;;;;;;;;x
city_job_chancellor_aztec;Petlacalcatl;Cihuacoatl;Cihuacoatl;;Cihuacoatl;;;;;;;;;x
city_job_treasurer_aztec;Sahagun;Petlacalcatl;Petlacalcatl;;Petlacalcatl;;;;;;;;;x
city_job_spiritual_aztec;Tillancalqui;Sahagún;Sahagun;;Sahagun;;;;;;;;;x
city_job_spymaster_aztec;Tlacateccatl;Tillancalqui;Tillancalqui;;Tillancalqui;;;;;;;;;x
city_job_marshal_aztec;Astabadh;Tlacateccatl;Tlacateccatl;;Tlacateccatl;;;;;;;;;x
city_job_chancellor_zoroastrian_group;Darik-Pat;Astabadh;Astabadh;;Astabadh;;;;;;;;;x
city_job_treasurer_zoroastrian_group;Eran Spahbod;Darik-pat;Darik-Pat;;Darik-Pat;;;;;;;;;x
city_job_marshal_zoroastrian_group;Mobad;Eran spahbod;Eran Spahbod;;Eran Spahbod;;;;;;;;;x
city_job_spiritual_zoroastrian_group;Mobad;Mobad;Mobad;;Mobad;;;;;;;;;x
city_job_spiritual_zoroastrian;Dvorní kaplan;Mobad;Mobed;;Mobad;;;;;;;;;x
city_job_spiritual_christian;Ecclesiarcha;Chapelain;Hofprediger;;Capellán;;;;;;;;;x
city_job_spiritual_orthodox;Dvorní imám;Ecclesiarque;Ekklesiarch;;Eclesiarca;;;;;;;;;x
city_job_spiritual_muslim;Dvorní mullah;Imam de la Cour;Hof-Imam;;Imán de la corte;;;;;;;;;x
city_job_spiritual_shiite;Hlavní vìštec;Mollah de la Cour;Hof-Mullah;;Mulá de la corte;;;;;;;;;x
city_job_spiritual_pagan_group;Vìštec;Devin;Oberster Wahrsager;;Gran Chamán;;;;;;;;;x
city_job_spiritual_pagan;Vìštec;Devin;Wahrsager;;Augur;;;;;;;;;x
city_job_spiritual_baltic_pagan;Vìštec;Devin;Wahrsager;;Augur;;;;;;;;;x
city_job_spiritual_baltic_pagan_reformed;Vìštec;Devin;Wahrsager;;Augur;;;;;;;;;x
city_job_spiritual_finnish_pagan;Vìštec;Devin;Wahrsager;;Augur;;;;;;;;;x
city_job_spiritual_finnish_pagan_reformed;Vìdma;Devin ;Wahrsager;;Augur;;;;;;;;;x
city_job_spiritual_norse_pagan_reformed;Vìdma;Voyant;Seher;;Vidente;;;;;;;;;x
city_job_spiritual_norse_pagan;Vìdma;Voyant;Seher;;Vidente;;;;;;;;;x
city_job_spiritual_female_norse_pagan_reformed;Vìdma;Voyante;Seherin;;Vidente;;;;;;;;;x
city_job_spiritual_female_norse_pagan;Vývojáøský balíèek EUIV Converter;Voyante;Seherin;;Vidente;;;;;;;;;x
city_job_spiritual_slavic_pagan;Diviner;Devin;Wahrsager;;Augur;;;;;;;;;x
city_job_spiritual_slavic_pagan_reformed;Diviner;Devin;Wahrsager;;Augur;;;;;;;;;x
city_job_spiritual_tengri_pagan;Diviner;Devin;Wahrsager;;Augur;;;;;;;;;x
city_job_spiritual_tengri_pagan_reformed;Diviner;Devin;Wahrsager;;Augur;;;;;;;;;x
EU4ConverterDLC;EUIV Converter;Convertisseur EUIV;EUIV Converter;;;;;;;;;;;x
CustomizationPackDLC;Customization Pack;;Customization Pack;;;;;;;;;;;x
